,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),-1,7B,3584,32768,62.51,56,73.92,61.55,53.36,4.94,25.48,85.13,65.55,60.08,73.98
1,2,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),99,7B,4096,32768,61.47,54.21,70.34,62.24,51.27,0.94,24.77,80.43,64.37,58.69,74.86
2,3,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),99,560M,1024,514,63.23,55.17,80.13,64.94,51.54,-0.4,22.91,80.86,62.61,57.12,76.81
3,4,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96,7B,4096,32768,60.93,54,70,60.02,52.57,0.16,24.55,80.29,64.19,59.44,74.79
4,5,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),99,7B,4096,4096,60.93,53.83,70.53,61.83,50.48,3.45,22.77,79.94,63.78,58.31,73.33
5,6,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),99,57B,4096,4096,60.5,53.39,68.17,61.55,50.88,2.44,24.43,79.73,62.61,57.54,73.16
6,7,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),99,7B,4096,32768,60.28,53.18,70.58,60.31,51.39,-0.62,22.2,81.12,63.82,55.75,74.02
7,8,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),-1,1B,8960,32768,59.47,52.75,62.51,58.32,52.59,0.74,24.02,81.58,62.58,60.78,71.61
8,9,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),98,559M,1024,514,60.94,53,73.55,62.77,47.24,-3.04,22.36,79.83,61.42,55.1,77.81
9,10,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),96,7B,4096,32768,59.84,52.91,68.84,59.01,54.33,-1.8,25.19,78.58,63.04,57.93,71.04
